type,olfactory,gustatory,thermosensory,mechanosensory,hygrosensory,chemosensory,visual
FB1A,3.4347934092412056e-06,5.212685048059683e-06,1.8328491777485543e-05,6.696402271942792e-07,1.1563992184580156e-05,4.7471025551575505e-07,1.8509318094941977e-08
FB1B,7.245809236655986e-06,3.3357315601924317e-06,3.176264428373144e-05,3.920495668934789e-07,2.6921631901870522e-05,2.831578534640252e-07,1.3859585017697604e-07
FB1C,1.532787182387895e-06,1.2927632314657068e-06,2.2393781895091815e-05,6.315873526918302e-07,8.650351966319215e-06,4.289323790869489e-07,1.8605887466964387e-07
FB1D,4.5460398418390485e-05,2.98328663194878e-06,0.00014277198432991833,3.825735944834606e-07,7.309575389434295e-05,2.3143047387833507e-07,1.7700695698248563e-07
FB1E_a,1.4012832611278143e-05,2.567528375896833e-06,1.8625746389696274e-05,4.4886940187786465e-07,1.2408333720410193e-05,1.1914144966096089e-07,1.2494220108032657e-08
FB1E_b,3.168875985037971e-05,3.417471281203992e-06,9.230240881904581e-05,3.70563681454079e-07,3.986116313782626e-05,1.7501044496895452e-07,9.802270232692714e-08
FB1F,3.2779310359537655e-06,3.3514645294081775e-06,1.801527864637002e-05,5.395858708326849e-07,8.491089141557302e-06,4.90196962426899e-07,7.138316808365771e-08
FB1G,7.562395424549974e-06,1.755369234114112e-06,0.00013663966758799514,1.1969213885092157e-06,2.8261135840626548e-05,5.497941752423442e-07,1.2280190104416922e-07
FB1H,1.6646783215921437e-06,6.273233769376709e-06,8.361715227977685e-06,1.3810864599126906e-06,4.564611806474256e-06,4.5887851089599943e-07,4.9890106212993164e-08
FB1I,3.5164122513609267e-07,2.3749564492640264e-07,3.092130008757421e-06,2.8160608376419206e-08,1.5143858411267983e-06,7.736030688591432e-08,2.131254969836249e-08
FB1J,1.7163156251456185e-06,1.2840286533365054e-06,3.4402711577697007e-06,7.007272841010988e-08,2.3469353589556802e-06,2.905514527275331e-08,2.011697611757141e-08
FB2A,9.507117189120396e-07,7.90215159719097e-07,9.27126284764523e-06,7.956626551430873e-07,3.2039300583266404e-06,1.5997519719258276e-07,2.887696677472913e-07
FB2B_a,4.165829321163625e-07,2.5663495425896117e-07,2.388401111462853e-06,3.594673578129737e-07,9.457685505264004e-07,1.0059244084057177e-07,3.55084919211133e-08
FB2B_b,1.2731874325933658e-07,2.3478223706995915e-07,1.1677911190570326e-06,1.6650573256960295e-07,4.95591914945773e-07,6.282508137884201e-08,3.2509695768911355e-07
FB2C,6.23763901771585e-06,2.330766087985003e-06,1.9523461937300466e-05,8.590890366586853e-07,1.175238568221063e-05,2.600476446281885e-07,1.339254489057368e-07
FB2D,5.627077636341805e-07,3.107286519967479e-07,8.970416909318151e-06,2.1662836465862648e-07,1.7673092195301487e-06,1.1808185819209629e-07,3.9306486952836915e-08
FB2E,4.748591898143846e-07,1.1322827568309548e-07,1.5897877475353805e-05,5.104845314826193e-07,5.349851905995624e-06,2.8305251823190546e-07,9.57921466621277e-08
FB2F_a,3.442231334725469e-06,6.223305649633209e-07,1.719282219216432e-05,7.884459652831142e-07,9.792921032373667e-06,8.610099435928503e-08,1.1938810921730951e-07
FB2F_b,4.7893712796283756e-06,1.9648852792977644e-06,1.7919153532462537e-05,5.062680125674134e-07,1.1052377681464222e-05,1.5102675333722602e-07,1.4591804878588414e-07
FB2F_c,2.6773670450221005e-06,3.261853724156974e-07,1.9857362569607407e-05,1.5258981943880703e-07,6.324305472871276e-06,6.366699872251449e-08,3.154171773852826e-08
FB2F_d,5.89043772394248e-06,7.599154003151322e-07,1.7130382763428663e-05,2.551349582419303e-07,8.778691270554722e-06,5.7451918243342955e-08,3.421805679462465e-08
FB2G_a,7.496281325216163e-06,8.623047384642079e-07,2.7341150233212014e-05,1.464093304977832e-06,1.3675680563033334e-05,7.429843238472025e-08,1.7689987903329648e-07
FB2G_b,1.0754016246297706e-06,1.3640114779361861e-06,1.2617779062561083e-05,6.475588913861203e-07,3.997786327443519e-06,2.889308101372384e-07,1.8041739502670234e-07
FB2H_a,1.260076728239679e-05,5.980759007631716e-07,0.0007250817135870365,3.530058309473955e-07,0.00012337350558399684,2.6037245861335233e-08,4.3129961608373964e-08
FB2H_b,1.1244390998640237e-05,6.014532105648779e-07,0.00023273378197341313,1.7790788313455341e-07,8.646361895960833e-05,4.2266408641108306e-08,3.194743913560299e-08
FB2I_a,1.7679317429350526e-06,1.0837301023365435e-07,4.125334428063956e-05,8.964762773514158e-08,1.42644534782196e-05,3.2312536402056574e-08,4.000565989490556e-08
FB2I_b,4.509587314553179e-06,1.3265790436631797e-07,0.00021516627026032186,3.6355761038665415e-07,5.45866362923047e-05,4.7754694355515446e-08,9.163900067175391e-08
FB2J_a,1.1265121414500942e-05,2.5726750485963e-07,2.7462149934076645e-05,5.234421516278198e-07,2.4209976385386728e-05,2.0601557496865936e-08,3.053471676994604e-07
FB2J_b,1.6981290033293541e-06,3.940723585082962e-08,9.841617760504927e-05,1.2115107781883527e-06,3.5619551804261856e-05,3.05761317944192e-07,3.1430339030159806e-07
FB2J_c,1.2325184916682316e-05,2.8976430461175866e-07,1.8310913224457273e-05,7.404165655509514e-07,2.5118224590099657e-05,2.6940796499015224e-08,3.140634346893714e-07
FB2K,1.1327755364149896e-06,4.778139859005701e-07,7.248145761895471e-06,3.6888807890100417e-07,5.215668818701279e-06,6.14531442019148e-08,7.506932994601528e-08
FB2L,7.300851344138134e-06,4.126425449659123e-06,1.9984563628931383e-05,9.111749955031834e-07,1.5740255564530962e-05,2.635586317035801e-07,1.7759647867976957e-08
FB2M_a,4.637658228456672e-06,8.602135275237539e-07,1.4733715783397897e-05,6.353171020319977e-07,8.361867494239193e-06,6.577010037568715e-08,2.1134069812028183e-07
FB2M_b,1.8201197390832338e-06,4.786957139929498e-07,8.209500843647441e-06,3.862336785066046e-07,3.83387865133998e-06,1.544347134962911e-07,1.3727878435459148e-07
FB3A,1.2561136758113272e-07,2.880817867941217e-07,9.27931031029368e-07,8.687157690618146e-07,4.4768311232962505e-07,1.5560843929340901e-07,9.755121135340071e-08
FB3C,7.797253813970077e-07,1.1189499459310266e-06,2.5278933303239933e-05,6.700479129862246e-07,6.536163548126606e-06,9.251468530822813e-08,6.707854688111608e-08
FB3D,3.422749948250088e-07,2.586984499268631e-07,2.0082048618398898e-06,3.1383374350385117e-07,8.452493864540602e-07,6.537848544684387e-08,2.1039845173169198e-08
FB3E,3.0710345985426074e-06,1.2540200086296162e-06,6.605463924673033e-05,1.0944078343273675e-06,2.0372886200217655e-05,2.3248119001685953e-07,9.828001915509511e-08
FB4A_a,1.365653545747542e-06,2.0030742311756786e-06,1.6852933878784234e-05,6.898757038568213e-07,3.4008095761286136e-06,3.63062955544068e-07,9.32758757289925e-08
FB4A_b,1.780492812866365e-06,9.404803424002066e-07,4.4534554359922595e-05,3.0523396838818544e-07,3.5918967877953014e-06,1.1920429429755114e-07,4.874249780564381e-08
FB4B,2.2377955366668473e-07,3.0592275810555034e-07,2.147961863317903e-06,2.9629976959685873e-07,1.1460070646967019e-06,3.664509389015393e-07,5.2272412513182335e-08
FB4C,2.0768468254102554e-06,2.625383111121832e-06,1.3016187529087072e-05,7.449239127772419e-07,3.7038848172384636e-06,4.4028256928330576e-07,8.611396606670515e-08
FB4D_a,6.761196243595338e-07,7.093279353378842e-07,4.79073472880767e-06,2.523216651600056e-07,1.53034818603099e-06,1.7609857678099378e-07,4.229538036067564e-08
FB4D_b,3.5756500030370643e-07,3.572293165196614e-07,1.8504493123647024e-06,1.1813693609569948e-07,7.223122348990207e-07,9.463873053868247e-08,3.961870774909321e-08
FB4D_c,1.2724791532124193e-06,8.611148890735687e-07,6.458908856559395e-06,3.3117251680752404e-07,2.48384857051141e-06,1.966366000961786e-07,5.011893418287442e-08
FB4E_a,3.1693809458403843e-07,1.4774259174851846e-06,3.787094727891667e-06,4.82807658651275e-07,2.099790124626884e-06,4.939125319900389e-07,5.116212730298467e-08
FB4E_b,4.890074102474631e-07,3.858599131652444e-06,4.177757998078802e-06,1.4763495230023915e-06,1.7554332239019392e-06,1.8508553862923237e-06,4.427862071281057e-08
FB4E_c,1.3285044325255573e-06,9.278874323170466e-07,4.671884701823915e-06,5.601228608631393e-07,3.149735296504336e-06,3.6928664460534003e-07,3.8947725734707016e-08
FB4F_a,6.47074907131287e-07,1.749857050437314e-06,5.30473400882825e-06,9.75605594191977e-07,2.2244853516208764e-06,6.457962183849564e-07,4.439294496942184e-08
FB4F_b,1.135094758559303e-06,2.085117744061596e-06,3.841751352609532e-06,1.1522068978026864e-06,1.8844505266426219e-06,6.488808481601839e-07,2.9635438610047456e-08
FB4F_c,3.0013337672369266e-07,1.61910625013467e-06,2.297891356359822e-06,6.489361313060853e-07,9.947424472989538e-07,3.71228253669262e-07,2.392898518135877e-08
FB4G,5.554720205131829e-07,2.7532725578273816e-06,2.422662424022425e-06,1.15944944576392e-06,1.0837384462776542e-06,4.95345575523583e-07,5.3999939825950374e-08
FB4H,1.575094423908405e-06,3.10723390349116e-06,6.0696598417617825e-06,1.3681204543913444e-06,3.940494360181636e-06,1.0305890797757312e-06,4.1566532998492074e-08
FB4I,1.8237730765467462e-06,1.4070017249394507e-06,4.620422501880393e-06,1.3676581651842405e-06,2.1776008631121505e-06,1.2389716534540873e-06,4.015075634144799e-08
FB4J,1.5769200877438017e-06,1.2189965083930588e-06,6.259182790720908e-06,5.269440598255659e-07,2.608580199768368e-06,3.400986243795707e-07,4.369717516738195e-08
FB4K,1.0940889119925711e-06,5.030141408033303e-06,6.2521683137656676e-06,1.396480392472253e-06,2.2541134955650664e-06,8.49853750552856e-07,2.0820492554334242e-08
FB4L,1.2337278716628354e-06,7.416905024495536e-07,1.4006711875703735e-05,1.267845387762612e-06,3.454586888230917e-06,9.412530106552711e-08,2.2301688654652887e-07
FB4M,6.188998102307008e-07,1.3831122925937388e-06,3.427639817747467e-06,1.1003753022439394e-06,1.5184999231207538e-06,2.2992962981518046e-07,1.964191260833865e-07
FB4N,7.060707931260542e-07,1.66987102195007e-06,4.431226413015674e-06,4.874172759610444e-07,1.429831047474598e-06,2.180031803470018e-07,7.238465729745462e-08
FB4O,2.623219722318604e-06,4.252473688684492e-06,6.495572320532679e-06,1.2185184868102546e-06,3.203731312830161e-06,7.343825801696607e-07,2.922959515203815e-08
FB4P_a,5.817901306683709e-07,3.753808356955548e-06,5.470362336348204e-06,1.373219222598228e-06,3.172569375479294e-06,1.1758836293816619e-06,3.1654871544086287e-07
FB4P_b,1.6102147913673809e-06,1.4214582267519537e-06,6.251290559522408e-06,4.4298071477895316e-07,4.338631293334803e-06,2.174349775024567e-07,2.7623420194689143e-08
FB4P_c,2.5664657103641634e-06,3.3107292076002347e-06,6.552925458435528e-06,9.218759043208065e-07,3.2997514702660053e-06,4.901933222028109e-07,3.517283601604079e-08
FB4Q_a,9.144399031760566e-07,1.144267366636327e-06,9.881858380805314e-06,3.1196415529193534e-07,6.865158327130663e-06,1.3600165830060226e-07,2.6180210942957266e-08
FB4Q_b,8.272319176809768e-07,1.165818058495599e-06,5.8955166810604294e-06,4.028092486661886e-07,4.034518879256e-06,2.55660453765236e-07,2.4096089318540446e-08
FB4Q_c,1.1556225929586564e-06,4.7142997714758787e-07,1.2941421206963377e-05,1.8334584624748921e-07,8.192477581691108e-06,1.1133827027108542e-07,2.2253330842666066e-08
FB4R,9.870182800916406e-06,7.153779685598163e-06,2.2928459157645547e-05,1.3882018223700218e-06,1.1239699548343274e-05,6.301330658304924e-07,6.333901783101159e-08
FB4X,4.786768779390416e-06,2.113608367665432e-06,2.3054651779842588e-05,6.010142864023033e-07,1.4082425177357823e-05,3.1933016282414585e-07,4.156502848681546e-08
FB4Y,4.057572906968026e-07,1.0992940087522238e-06,5.3594717206144e-06,5.601151330205437e-07,2.087067571863506e-06,2.4975881539248476e-07,2.7433301843400617e-07
FB4Z_a,1.6838774578464446e-08,8.03873052057361e-07,3.981932709934964e-07,1.324838827404705e-07,3.920511769399124e-08,7.3352517879253824e-09,6.978599735350423e-09
FB4Z_b,3.724972341295999e-08,8.781010468636065e-08,3.2237871134450295e-07,1.0752351023541575e-08,7.083257240213324e-08,5.4804256427775545e-09,4.037120087157416e-09
FB4Z_c,1.6551449523875208e-08,2.8597890333859734e-08,6.366137638554781e-07,6.949197721872601e-09,3.7515410202809916e-08,6.8231314851324276e-09,4.318854272274375e-09
FB5A,1.4916539044590222e-07,4.585787482676578e-07,8.287133846276795e-06,2.2062863550340932e-07,3.0060523104910554e-06,1.5255694734442864e-07,4.848609523153923e-08
FB5AA,2.4434697511020887e-06,5.847536962698788e-06,6.140699678720708e-06,8.818144330957721e-07,4.126231923891356e-06,3.3464742236097973e-07,1.280077866708301e-07
FB5AB,1.2809318721726222e-05,4.9540843184042505e-06,2.9663907992277964e-05,9.133684719783176e-07,1.7017624727552414e-05,8.785639943402111e-07,2.5959488876351277e-08
FB5B,1.7428462986707498e-05,4.635734893517985e-06,3.660794684364078e-05,9.817273914812939e-07,2.1287096902395574e-05,9.42751554931142e-07,2.4480517541568416e-08
FB5C,2.080366078305852e-06,5.91263618445416e-06,8.690859028362972e-06,1.038166737688523e-06,3.2798221289352092e-06,6.02448697706493e-07,1.5551079512375807e-07
FB5D,8.927782298345439e-07,7.197224645959329e-06,4.8768267790286495e-06,2.0888797842822335e-06,2.0771936408023033e-06,1.7074030452023692e-06,2.2078606518907403e-07
FB5E,1.1134149756545746e-06,2.4467271013200575e-06,7.8494478578392e-06,6.554926037488502e-07,4.5004716593230865e-06,4.767696400136976e-07,1.9493704945761676e-07
FB5F,3.771105901069309e-06,7.410400639620384e-06,2.0536064120590075e-05,1.3769094784168088e-06,1.0989175456976333e-05,9.051349925815971e-07,1.752338973876437e-07
FB5G_a,9.425527681693388e-07,5.2102022528411925e-06,1.3573833684223686e-05,1.269003620615652e-06,6.657516227667778e-06,9.065466448549761e-07,2.0270833525492972e-07
FB5G_b,1.5027891624691102e-06,7.3449671335916145e-06,1.6139275999276435e-05,1.7469394095597449e-06,9.8793224636993e-06,1.4610169121984374e-06,3.6671085393909405e-07
